entry_time,entry_price,stop_loss,risk,target_1,tp1_hit,max_high,lots,exit_time,exit_price,net_pnl,reason,tp1_exit_price
2026-03-19 11:13:00,321.6,315.2,6.400000000000034,334.4000000000001,False,322.7,2,2026-03-19 11:14:00,312.9,-18.66900000000009,SL HIT,
2026-03-23 13:08:00,122.3,129.95,4.299999999999997,130.89999999999998,True,134.25,2,2026-03-23 13:51:00,129.95,15.745499999999971,TRAILING SL HIT,130.89999999999998
